"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 571";"";"15,55";"41,26";"51,87";"66,37"
"SEZIONE 573";"";"18,57";"46,17";"55,03";"69,17"
"SEZIONE 574";"";"0,13";"43,74";"50,74";"63,26"
"SEZIONE 575";"";"17,50";"49,94";"59,73";"72,34"
"SEZIONE 580";"";"16,99";"43,43";"54,06";"68,39"
"SEZIONE 582";"";"19,23";"46,85";"55,42";"67,31"
"SEZIONE 583";"";"13,26";"29,30";"34,37";"45,50"
"SEZIONE 585";"";"17,72";"53,60";"58,79";"71,47"
"SEZIONE 586";"";"16,46";"46,30";"56,21";"68,62"
"SEZIONE 589";"";"14,15";"45,55";"55,31";"67,95"
"SEZIONE 590";"";"15,22";"40,33";"48,71";"62,56"
"SEZIONE 592";"";"18,83";"45,62";"55,19";"66,88"
"SEZIONE 594";"";"15,63";"44,75";"52,88";"67,75"
"SEZIONE 596";"";"14,46";"40,92";"50,44";"64,02"
"SEZIONE 600";"";"17,58";"50,21";"55,56";"66,53"
"SEZIONE 601";"";"19,18";"45,24";"53,08";"65,98"
"SEZIONE 603";"";"17,90";"49,67";"57,81";"70,17"
"SEZIONE 604";"";"15,92";"47,75";"58,20";"68,89"
"SEZIONE 608";"";"17,22";"50,33";"58,11";"68,89"
"SEZIONE 610";"";"20,89";"51,77";"60,76";"74,68"
"SEZIONE 613";"";"21,40";"51,01";"59,91";"73,20"
"SEZIONE 614";"";"25,16";"46,73";"53,15";"66,88"
"SEZIONE 615";"";"14,93";"44,79";"53,93";"63,16"
"SEZIONE 616";"";"17,26";"45,69";"54,82";"69,04"
"SEZIONE 617";"";"20,09";"48,02";"56,96";"68,57"
"SEZIONE 621";"";"19,74";"49,58";"59,69";"70,88"
"SEZIONE 622";"";"18,24";"36,15";"39,53";"49,32"
"SEZIONE 624";"";"15,03";"43,03";"51,88";"65,33"
"SEZIONE 625";"";"21,04";"52,71";"62,35";"75,86"
